Time (s),Amplitude
2.0,0.0280551729164853
2.0,0.027897565272946588
2.0,0.028644547664424744
2.0,0.029099254808548997
2.0,0.027691836180484264
2.0,0.02739868385253135
2.0,0.028236336800198197
2.0,0.02708709027020511
2.0,0.025327806109386893
2.0,0.024766983312412526
2.0,0.023170509382834385
2.0,0.022112970171891302
2.0,0.021307995613332555
2.0,0.018968038616581494
2.0,0.01844286491012777
2.0,0.01917194542252111
2.0,0.01935698539872901
2.0,0.020301814447436953
2.0,0.019733158665954046
2.0,0.019927541778547858
2.0,0.022037446298678924
2.0,0.021361058953084523
2.0,0.02095747132641698
2.0,0.01989453446568625
2.0,0.020458035847896166
2.0,0.02108401617717621
2.0,0.02074829702289962
2.0,0.021840524135275895
2.0,0.021733267117962512
2.0,0.0221524216960293
2.0,0.022775365453683208
2.0,0.02454450955637397
2.0,0.023339997669853767
2.0,0.02233991947412932
2.0,0.02299202411827633
2.0,0.021708111340197046
2.0,0.021897397495310496
2.0,0.02060859602251796
2.0,0.021353048566158935
2.0,0.023346922419652236
2.0,0.024498829666155287
2.0,0.024432749848125976
2.0,0.02414470807734798
2.0,0.023746315176950156
2.0,0.02308309708595357
2.0,0.02394807202388729
2.0,0.02515514731892533
2.0,0.02683552929360424
2.0,0.026612801365000587
2.0,0.0255698627103255
2.0,0.02715187467624311
2.0,0.027534963827325905
2.0,0.0281838966199768
2.0,0.029967367240687628
2.0,0.031081280299251786
2.0,0.0310871482606822
2.0,0.029956536128149344
2.0,0.030346335519894296
2.0,0.031281387928209434
2.0,0.031800520922171865
2.0,0.03087905236957151
2.0,0.03072100423365049
2.0,0.030320037779681192
2.0,0.031032593953006133
2.0,0.03348250978385011
2.0,0.03474113230026313
2.0,0.03442333162479455
2.0,0.03512174371885815
2.0,0.034759574858308766
2.0,0.034139889834721264
2.0,0.035105500355788626
2.0,0.03593799994748715
2.0,0.03500318527822102
2.0,0.034827104662162815
2.0,0.032041574500941264
2.0,0.033578085192618956
2.0,0.0333662006253924
2.0,0.03281574612686791
2.0,0.03254891264181588
2.0,0.03135249211994404
2.0,0.032802944474212864
2.0,0.03417997062216366
2.0,0.03509076868356227
2.0,0.03377438754055868
2.0,0.0333188433361519
2.0,0.03394179760017356
2.0,0.03526417156242719
2.0,0.03512704822460021
2.0,0.034668260409176005
2.0,0.03531410431127794
2.0,0.03528622662486994
2.0,0.035422803058997546
2.0,0.03403280179993944
2.0,0.03370378012819989
2.0,0.03337033182220744
2.0,0.032882985782119074
2.0,0.034275754445485654
2.0,0.034714316252005835
2.0,0.034560893919880015
2.0,0.03414258476339272
2.0,0.03345605686409853
2.0,0.03435042810091049
2.0,0.03504768004487528
2.0,0.03557610737994327
2.0,0.036996029916506856
2.0,0.03867215448106189
2.0,0.04026433090982406
2.0,0.03946245622009681
2.0,0.0391524639245662
2.0,0.03853523972430218
2.0,0.03759957297817548
2.0,0.03934060897051284
2.0,0.04089575437896258
2.0,0.04290694353717297
2.0,0.04159966053819299
